seed,model,after_task,task_id,task_name,acc,route_entropy,route_dominance
3,Mutualistic09_latent_only,3,1,2 vs 3,0.973,0.36590210162103176,0.8774613663554192
3,Mutualistic09_latent_only,3,2,4 vs 5,0.9995,0.08996296161785722,0.9776817299425602
3,Mutualistic09_latent_only,3,3,6 vs 7,1.0,0.0016312295556417666,0.9998126775026321
3,Mutualistic09_latent_only,4,0,0 vs 1,0.986,0.4470748286694288,0.8013841137290001
3,Mutualistic09_latent_only,4,1,2 vs 3,0.973,0.20330605003982782,0.9434149153530598
3,Mutualistic09_latent_only,4,2,4 vs 5,0.9995,0.011716874170815572,0.9973442479968071
3,Mutualistic09_latent_only,4,3,6 vs 7,1.0,0.009426085103768855,0.9983350858092308
3,Mutualistic09_latent_only,4,4,8 vs 9,0.998,0.00645055525819771,0.9989296346902847
3,Mutualistic09_route_plus_latent,0,0,0 vs 1,0.985,0.10257098637521267,0.9687848575413227
3,Mutualistic09_route_plus_latent,1,0,0 vs 1,0.9855,0.12571892654523253,0.9615213386714458
3,Mutualistic09_route_plus_latent,1,1,2 vs 3,0.971,0.1251474805176258,0.9604323916137218
3,Mutualistic09_route_plus_latent,2,0,0 vs 1,0.9865,0.21407930180430412,0.9351530931890011
3,Mutualistic09_route_plus_latent,2,1,2 vs 3,0.971,0.4741416145116091,0.8231968842446804
3,Mutualistic09_route_plus_latent,2,2,4 vs 5,1.0,0.02436720358673483,0.991991326212883
