seed,model,task_id,task_name,epoch,lambda_route_memory,lambda_distill,lambda_latent,lambda_entropy,task_loss,entropy,dominance,mutualism_violation,gain_mean,gain_min,route_memory_loss,distill_loss,latent_loss,alpha,total_loss
8,Mutualistic09_distill_only,3,6 vs 7,2,0.0,1.0,0.0,0.005,0.005421402883973528,0.005646533506149624,0.9987763103018416,4.789653395675941e-06,0.15644785254559618,-2.1801072549312674e-05,0.0004734179098917632,0.002616043408163526,0.28284186568666014,0.0,0.02313312666213259
8,Mutualistic09_distill_only,3,6 vs 7,3,0.0,1.0,0.0,0.005,0.0044219919401121905,0.003482187268363827,0.9993282721397725,1.6466556151147445e-06,0.15624329225814088,-7.69720769467506e-06,0.0007237523257456215,0.0010508606544735424,0.24488998252026578,0.5,0.018460407932388023
8,Mutualistic09_distill_only,3,6 vs 7,14,0.0,1.0,0.0,0.005,0.0011878530148099712,0.000319315640266955,0.9999605949888838,3.09912456371445e-08,0.1453415369416805,-1.4802332016381813e-07,0.0004629145477473627,0.000388934789101613,0.12740432819787492,1.0,0.0074611358205847285
8,Mutualistic09_distill_only,4,8 vs 9,0,0.0,1.0,0.0,0.005,0.07284820118443446,0.010452309018991728,0.9974072905296975,0.00013301585716936023,0.1980208185045643,-0.0006304188690921094,0.00041642400061933356,0.0172898039734022,0.1498486631310872,0.0,0.11354985793537282
8,Mutualistic09_distill_only,4,8 vs 9,2,0.0,1.0,0.0,0.005,0.006150000381897738,0.0046501566081288016,0.998914103558723,1.3268207911996216e-05,0.33974237771744425,-5.6444092633876397e-05,0.00038673523588241026,0.002286998116649053,0.17852462384294956,0.0,0.022507497287811117
8,Mutualistic09_distill_only,4,8 vs 9,3,0.0,1.0,0.0,0.005,0.0045108035097810185,0.004515034659329722,0.9990030970979245,6.987996785856834e-06,0.3552121919520358,-2.9765114069302032e-05,0.00027164737337520914,0.001765891798137826,0.17390871333315017,0.5,0.01828591030170309
8,Mutualistic09_distill_only,4,8 vs 9,14,0.0,1.0,0.0,0.005,0.0012473858585779337,0.0012589487382780483,0.9997651348722741,3.1139315612101824e-07,0.19590438823116588,-1.2458619126614105e-06,0.00038340718334013143,0.0005509842260235405,0.12020815021180092,1.0,0.00705782428106412
8,Mutualistic09_route_memory_only,0,0 vs 1,0,2.0,0.0,0.0,0.005,0.18170596841484943,0.6201706687186627,0.7583505821988937,0.0010250940920528554,0.030310072392123712,-0.004525188198114963,0.0,0.0,0.0,0.0,0.20188854420755772
8,Mutualistic09_route_memory_only,0,0 vs 1,2,2.0,0.0,0.0,0.005,0.030491286432965004,0.18008018174069992,0.9503783926050714,0.00031391344445898755,0.06266939511245236,-0.00103247565950485,0.0,0.0,0.0,0.0,0.04253048033631863
8,Mutualistic09_route_memory_only,0,0 vs 1,3,2.0,0.0,0.0,0.005,0.02676447683033791,0.18586977872442692,0.9483451513533897,0.00036158643978466144,0.06117995010015178,-0.001401955886010794,0.0,0.0,0.0,0.5,0.036745667061273087
